COD_MUN_IBGE	COD_REG_UF	REG_UF	COD_UF	UF	COD_MUN	NOM_MUN
1100015	1	N	11	RO	00015	ALTA FLORESTA D'OESTE
1100023	1	N	11	RO	00023	ARIQUEMES
1100031	1	N	11	RO	00031	CABIXI
1100049	1	N	11	RO	00049	CACOAL
1100056	1	N	11	RO	00056	CEREJEIRAS
1100064	1	N	11	RO	00064	COLORADO DO OESTE
1100072	1	N	11	RO	00072	CORUMBIARA
1100080	1	N	11	RO	00080	COSTA MARQUES
1100098	1	N	11	RO	00098	ESPIGAO D'OESTE
1100106	1	N	11	RO	00106	GUAJARA-MIRIM
1100114	1	N	11	RO	00114	JARU
1100122	1	N	11	RO	00122	JI-PARANA
1100130	1	N	11	RO	00130	MACHADINHO D'OESTE
1100148	1	N	11	RO	00148	NOVA BRASILANDIA D'OESTE
1100155	1	N	11	RO	00155	OURO PRETO DO OESTE
1100189	1	N	11	RO	00189	PIMENTA BUENO
1100205	1	N	11	RO	00205	PORTO VELHO
1100254	1	N	11	RO	00254	PRESIDENTE MEDICI
1100262	1	N	11	RO	00262	RIO CRESPO
1100288	1	N	11	RO	00288	ROLIM DE MOURA
1100296	1	N	11	RO	00296	SANTA LUZIA D'OESTE
1100304	1	N	11	RO	00304	VILHENA
1100320	1	N	11	RO	00320	SAO MIGUEL DO GUAPORE
1100338	1	N	11	RO	00338	NOVA MAMORE
1100346	1	N	11	RO	00346	ALVORADA D'OESTE
1100379	1	N	11	RO	00379	ALTO ALEGRE DOS PARECIS
1100403	1	N	11	RO	00403	ALTO PARAISO
1100452	1	N	11	RO	00452	BURITIS
1100502	1	N	11	RO	00502	NOVO HORIZONTE DO OESTE
1100601	1	N	11	RO	00601	CACAULANDIA
1100700	1	N	11	RO	00700	CAMPO NOVO DE RONDONIA
1100809	1	N	11	RO	00809	CANDEIAS DO JAMARI
1100908	1	N	11	RO	00908	CASTANHEIRAS
1100924	1	N	11	RO	00924	CHUPINGUAIA
1100940	1	N	11	RO	00940	CUJUBIM
1101005	1	N	11	RO	01005	GOVERNADOR JORGE TEIXEIRA
1101104	1	N	11	RO	01104	ITAPUA DO OESTE
1101203	1	N	11	RO	01203	MINISTRO ANDREAZZA
1101302	1	N	11	RO	01302	MIRANTE DA SERRA
1101401	1	N	11	RO	01401	MONTE NEGRO
1101435	1	N	11	RO	01435	NOVA UNIAO
1101450	1	N	11	RO	01450	PARECIS
1101468	1	N	11	RO	01468	PIMENTEIRAS DO OESTE
1101476	1	N	11	RO	01476	PRIMAVERA DE RONDONIA
1101484	1	N	11	RO	01484	SAO FELIPE D'OESTE
1101492	1	N	11	RO	01492	SAO FRANCISCO DO GUAPORE
1101500	1	N	11	RO	01500	SERINGUEIRAS
1101559	1	N	11	RO	01559	TEIXEIROPOLIS
1101609	1	N	11	RO	01609	THEOBROMA
1101708	1	N	11	RO	01708	URUPA
1101757	1	N	11	RO	01757	VALE DO ANARI
1101807	1	N	11	RO	01807	VALE DO PARAISO
1200013	1	N	12	AC	00013	ACRELANDIA
1200054	1	N	12	AC	00054	ASSIS BRASIL
1200104	1	N	12	AC	00104	BRASILEIA
1200138	1	N	12	AC	00138	BUJARI
1200179	1	N	12	AC	00179	CAPIXABA
1200203	1	N	12	AC	00203	CRUZEIRO DO SUL
1200252	1	N	12	AC	00252	EPITACIOLANDIA
1200302	1	N	12	AC	00302	FEIJO
1200328	1	N	12	AC	00328	JORDAO
1200336	1	N	12	AC	00336	MANCIO LIMA
1200344	1	N	12	AC	00344	MANOEL URBANO
1200351	1	N	12	AC	00351	MARECHAL THAUMATURGO
1200385	1	N	12	AC	00385	PLACIDO DE CASTRO
1200393	1	N	12	AC	00393	PORTO WALTER
1200401	1	N	12	AC	00401	RIO BRANCO
1200427	1	N	12	AC	00427	RODRIGUES ALVES
1200435	1	N	12	AC	00435	SANTA ROSA DO PURUS
1200450	1	N	12	AC	00450	SENADOR GUIOMARD
1200500	1	N	12	AC	00500	SENA MADUREIRA
1200609	1	N	12	AC	00609	TARAUACA
1200708	1	N	12	AC	00708	XAPURI
1200807	1	N	12	AC	00807	PORTO ACRE
1300029	1	N	13	AM	00029	ALVARAES
1300060	1	N	13	AM	00060	AMATURA
1300086	1	N	13	AM	00086	ANAMA
1300102	1	N	13	AM	00102	ANORI
1300144	1	N	13	AM	00144	APUI
1300201	1	N	13	AM	00201	ATALAIA DO NORTE
1300300	1	N	13	AM	00300	AUTAZES
1300409	1	N	13	AM	00409	BARCELOS
1300508	1	N	13	AM	00508	BARREIRINHA
1300607	1	N	13	AM	00607	BENJAMIN CONSTANT
1300631	1	N	13	AM	00631	BERURI
1300680	1	N	13	AM	00680	BOA VISTA DO RAMOS
1300706	1	N	13	AM	00706	BOCA DO ACRE
1300805	1	N	13	AM	00805	BORBA
1300839	1	N	13	AM	00839	CAAPIRANGA
1300904	1	N	13	AM	00904	CANUTAMA
1301001	1	N	13	AM	01001	CARAUARI
1301100	1	N	13	AM	01100	CAREIRO
1301159	1	N	13	AM	01159	CAREIRO DA VARZEA
1301209	1	N	13	AM	01209	COARI
1301308	1	N	13	AM	01308	CODAJAS
1301407	1	N	13	AM	01407	EIRUNEPE
1301506	1	N	13	AM	01506	ENVIRA
1301605	1	N	13	AM	01605	FONTE BOA
1301654	1	N	13	AM	01654	GUAJARA
1301704	1	N	13	AM	01704	HUMAITA
1301803	1	N	13	AM	01803	IPIXUNA
1301852	1	N	13	AM	01852	IRANDUBA
1301902	1	N	13	AM	01902	ITACOATIARA
1301951	1	N	13	AM	01951	ITAMARATI
1302009	1	N	13	AM	02009	ITAPIRANGA
1302108	1	N	13	AM	02108	JAPURA
1302207	1	N	13	AM	02207	JURUA
1302306	1	N	13	AM	02306	JUTAI
1302405	1	N	13	AM	02405	LABREA
1302504	1	N	13	AM	02504	MANACAPURU
1302553	1	N	13	AM	02553	MANAQUIRI
1302603	1	N	13	AM	02603	MANAUS
1302702	1	N	13	AM	02702	MANICORE
1302801	1	N	13	AM	02801	MARAA
1302900	1	N	13	AM	02900	MAUES
1303007	1	N	13	AM	03007	NHAMUNDA
1303106	1	N	13	AM	03106	NOVA OLINDA DO NORTE
1303205	1	N	13	AM	03205	NOVO AIRAO
1303304	1	N	13	AM	03304	NOVO ARIPUANA
1303403	1	N	13	AM	03403	PARINTINS
1303502	1	N	13	AM	03502	PAUINI
1303536	1	N	13	AM	03536	PRESIDENTE FIGUEIREDO
1303569	1	N	13	AM	03569	RIO PRETO DA EVA
1303601	1	N	13	AM	03601	SANTA ISABEL DO RIO NEGRO
1303700	1	N	13	AM	03700	SANTO ANTONIO DO ICA
1303809	1	N	13	AM	03809	SAO GABRIEL DA CACHOEIRA
1303908	1	N	13	AM	03908	SAO PAULO DE OLIVENCA
1303957	1	N	13	AM	03957	SAO SEBASTIAO DO UATUMA
1304005	1	N	13	AM	04005	SILVES
1304062	1	N	13	AM	04062	TABATINGA
1304104	1	N	13	AM	04104	TAPAUA
1304203	1	N	13	AM	04203	TEFE
1304237	1	N	13	AM	04237	TONANTINS
1304260	1	N	13	AM	04260	UARINI
1304302	1	N	13	AM	04302	URUCARA
1304401	1	N	13	AM	04401	URUCURITUBA
1400027	1	N	14	RR	00027	AMAJARI
1400050	1	N	14	RR	00050	ALTO ALEGRE
1400100	1	N	14	RR	00100	BOA VISTA
1400159	1	N	14	RR	00159	BONFIM
1400175	1	N	14	RR	00175	CANTA
1400209	1	N	14	RR	00209	CARACARAI
1400233	1	N	14	RR	00233	CAROEBE
1400282	1	N	14	RR	00282	IRACEMA
1400308	1	N	14	RR	00308	MUCAJAI
1400407	1	N	14	RR	00407	NORMANDIA
1400456	1	N	14	RR	00456	PACARAIMA
1400472	1	N	14	RR	00472	RORAINOPOLIS
1400506	1	N	14	RR	00506	SAO JOAO DA BALIZA
1400605	1	N	14	RR	00605	SAO LUIZ
1400704	1	N	14	RR	00704	UIRAMUTA
1500107	1	N	15	PA	00107	ABAETETUBA
1500131	1	N	15	PA	00131	ABEL FIGUEIREDO
1500206	1	N	15	PA	00206	ACARA
1500305	1	N	15	PA	00305	AFUA
1500347	1	N	15	PA	00347	AGUA AZUL DO NORTE
1500404	1	N	15	PA	00404	ALENQUER
1500503	1	N	15	PA	00503	ALMEIRIM
1500602	1	N	15	PA	00602	ALTAMIRA
1500701	1	N	15	PA	00701	ANAJAS
1500800	1	N	15	PA	00800	ANANINDEUA
1500859	1	N	15	PA	00859	ANAPU
